,ticker,group_code,company_name,company_short_name
967,PND,UpcomIndex,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,Xăng dầu Dầu khí Nam Định
968,PNJ,VNINDEX,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Vàng Phú Nhuận
969,PNP,UpcomIndex,Công ty Cổ phần Tân Cảng – Phú Hữu,Tân Cảng - Phú Hữu
970,PNT,UpcomIndex,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,Kỹ thuật XD Phú Nhuận
971,POB,UpcomIndex,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,PVOIL Thái Bình
972,POM,VNINDEX,Công ty Cổ phần Thép Pomina,Thép Pomina
973,POT,HNXIndex,Công ty Cổ phần Thiết bị Bưu điện,Thiết bị Bưu điện Postef
974,POV,UpcomIndex,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,PV Oil Vũng Áng
975,DNA,UpcomIndex,Công ty Cổ phần Điện nước An Giang,Điện nước An Giang
976,PPC,VNINDEX,Công ty Cổ phần Nhiệt điện Phả Lại,Nhiệt điện Phả Lại
977,PPE,HNXIndex,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise,PVPower Engineering
978,PPH,UpcomIndex,Tổng Công ty Cổ phần Phong Phú,Phong Phú Corp.
979,PPI,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương,BĐS Thái Bình Dương
980,PPP,HNXIndex,Công ty Cổ phần Dược phẩm Phong Phú,PP.Pharco
981,PPS,HNXIndex,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,DVKT Điện lực Dầu khí
982,PRC,HNXIndex,Công ty Cổ phần Logistics Portserco,Vận tải Portserco
983,PRO,UpcomIndex,Công ty Cổ phần Procimex Việt Nam,Procimex Việt Nam
984,PSB,UpcomIndex,Công ty Cổ phần Đầu tư Dầu khí Sao Mai Bến Đình,Sao Mai Bến Đình
985,PSC,HNXIndex,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,Vận tải Petrolimex SG
986,BT1,UpcomIndex,Công ty Cổ phần Bảo vệ thực vật 1 Trung ương,Bảo vệ thực vật 1 TW
987,PSD,HNXIndex,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Phân phối Tổng hợp Dầu khí
988,PSE,HNXIndex,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,Phân bón và hóa chất dầu khí Đông Nam Bộ
989,PSG,UpcomIndex,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,XL Dầu khí Sài Gòn
990,PSI,HNXIndex,Công ty Cổ phần Chứng khoán Dầu khí,Chứng khoán Dầu khí
991,PSL,UpcomIndex,Công ty Cổ phần Chăn nuôi Phú Sơn,Chăn nuôi Phú Sơn
992,PSP,UpcomIndex,Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,DV Dầu Khí Đình Vũ
993,PTB,VNINDEX,Công ty Cổ phần Phú Tài,Công ty Cổ phần Phú Tài
994,GCB,UpcomIndex,Công ty Cổ phần PETEC Bình Định,PETEC Bình Định
995,PTC,VNINDEX,Công ty Cổ phần Đầu tư ICAPITAL,Đầu tư ICAPITAL
996,PTE,UpcomIndex,Công ty Cổ phần Xi măng Phú Thọ,Xi măng Phú Thọ
997,PTO,UpcomIndex,Công ty Cổ phần Dịch vụ - Xây dựng Công trình Bưu điện,Xây dựng Công trình Bưu điện
998,KSF,HNXIndex,Công ty cổ phần Tập đoàn KSFinance,Tập đoàn KSFinance
999,PTD,HNXIndex,Công ty Cổ phần Thiết kế - Xây dựng - Thương mại Phúc Thịnh,Thiết kế-XD-TM Phúc Thịnh
1000,PTG,UpcomIndex,Công ty Cổ phần May Xuất Khẩu Phan Thiết,May Phan Thiết
1001,PTH,UpcomIndex,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây,Vận tải và DV Petrolimex Hà Tây
1002,PTI,HNXIndex,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,Bảo hiểm Bưu điện
1003,PTL,VNINDEX,Công ty Cổ phần Victory Capital,Victory Capital
1004,PTN,UpcomIndex,Công ty Cổ phần Phát triển Nhà Khánh Hòa,Phát triển Nhà Khánh Hòa
1005,PTP,UpcomIndex,Công ty Cổ phần Dịch vụ Viễn Thông và In Bưu điện,Viễn Thông và In Bưu điện
1006,PTS,HNXIndex,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Vận tải Petrolimex HP
1007,POS,UpcomIndex,"Công ty Cổ phần Dịch vụ lắp đặt, vận hành và bảo dưỡng công trình dầu khí biển PTSC",Bảo dưỡng công trình DK biển
1008,PSN,UpcomIndex,Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hóa,PTSC Thanh Hóa
1009,PTX,UpcomIndex,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,VT Petrolimex Nghệ Tĩnh
1010,PTT,UpcomIndex,Công ty Cổ phần Vận tải Dầu khí Đông Dương,Vận tải Dầu khí Đông Dương
1011,DSP,UpcomIndex,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Dịch vụ Du lịch Phú Thọ
1012,DTD,HNXIndex,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Đầu tư Phát triển Thành Đạt
1013,DAT,VNINDEX,Công ty cổ phần Đầu tư Du lịch và Phát triển Thủy sản,ĐT Du lịch và PT Thủy sản
1014,PV2,HNXIndex,Công ty Cổ phần Đầu tư PV2,Đầu tư PV2
1015,PVA,UpcomIndex,Công ty Cổ phần Tổng Công ty Xây lắp Dầu khí Nghệ An,Xây dựng dầu khí Nghệ An
1016,PVB,HNXIndex,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Bọc ống Dầu khí Việt Nam
1017,PBK,UpcomIndex,Công ty Cổ phần Điện lực Dầu khí Bắc Kạn,Điện lực Dầu khí Bắc Kạn
1018,PBT,UpcomIndex,Công ty Cổ Phần Nhà và Thương mại Dầu khí,PV Building
1019,PVC,HNXIndex,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - Công ty Cổ phần,Hóa chất và Dịch vụ Dầu khí
1020,PCE,HNXIndex,Công ty Cổ phần Phân bón và hóa chất dầu khí Miền Trung,Phân bón và Hóa chất DK Miền Trung
1021,PVM,UpcomIndex,Công ty Cổ phần Máy - Thiết bị Dầu khí,Thiết bị dầu khí (PV MACHINO)
1022,PXC,UpcomIndex,Công ty Cổ phần Phát triển Đô thị Dầu khí,Phát triển Đô thị Dầu khí
1023,PVH,UpcomIndex,Công ty Cổ phần Xây lắp Dầu khí Thanh Hóa,Xây lắp Dầu khí Thanh Hóa
1024,PVD,VNINDEX,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Khoan Dầu khí PVDrilling
1025,PCN,UpcomIndex,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Bắc,Dầu khí DMC-Miền Bắc
1026,PVE,UpcomIndex,Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần,Tư vấn Dầu khí
1027,PSW,HNXIndex,Công ty Cổ phần Phân bón và hóa chất dầu khí Tây Nam Bộ,Phân bón hóa chất dầu khí Tây Nam Bộ
1028,PVG,HNXIndex,Công ty Cổ phần Kinh doanh LPG Việt Nam,Kinh doanh LPG Việt Nam
1029,PVI,HNXIndex,Công ty Cổ phần PVI,Bảo hiểm PVI
1030,RGC,UpcomIndex,Công ty Cổ phần Đầu tư PV-Inconess,Đầu tư PV-Inconess
1031,PRE,HNXIndex,Tổng Công ty Cổ phần Tái bảo hiểm PVI,Tái bảo hiểm PVI
1032,PVL,HNXIndex,Công ty Cổ phần Đầu tư Nhà Đất Việt,Đầu tư Nhà Đất Việt
1033,OIL,UpcomIndex,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,PV Oil
1034,PPY,HNXIndex,Công ty Cổ phần Xăng dầu dầu khí Phú Yên,Xăng dầu dầu khí Phú Yên
1035,POW,VNINDEX,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Điện lực Dầu khí Việt Nam
1036,PVR,UpcomIndex,Công ty Cổ phần Đầu tư PVR Hà Nội,Đầu tư PVR Hà Nội
1037,PVS,HNXIndex,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,DVKT Dầu khí PTSC
1038,PVY,UpcomIndex,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,Chế tạo Giàn khoan Dầu khí
1039,PVT,VNINDEX,Tổng Công ty Cổ phần Vận tải Dầu khí,Vận tải Dầu khí PVTrans
1040,PVP,VNINDEX,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Vận tải Dầu khí Thái Bình Dương
1041,PVV,UpcomIndex,Công ty Cổ phần Vinaconex 39,Vinaconex 39
1042,PVX,UpcomIndex,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,Xây lắp Dầu khí Việt Nam
1043,PWA,UpcomIndex,Công ty Cổ phần Bất động sản dầu khí,Bất động sản dầu khí
1044,PX1,UpcomIndex,Công ty Cổ phần Xi măng Sông Lam 2,Xi măng Sông Lam 2
1045,PXA,UpcomIndex,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,Đầu tư và Thương mại Dầu khí Nghệ An
1046,PXI,UpcomIndex,Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí,XL CN và dân dụng Dầu khí
1047,PXL,UpcomIndex,Công ty Cổ phần Đầu tư Khu Công Nghiệp Dầu khí Long Sơn,KCN Dầu khí Long Sơn
1048,PXM,UpcomIndex,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,Xây lắp Dầu khí Miền Trung
1049,PXS,UpcomIndex,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,Lắp máy Dầu khí
1050,PXT,UpcomIndex,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,Xây lắp Đường ống Dầu khí
1051,PWS,UpcomIndex,Công ty Cổ phần Cấp thoát nước Phú Yên,Cấp thoát nước Phú Yên
1052,BQB,UpcomIndex,Công ty Cổ phần Bia Hà Nội - Quảng Bình,Bia Hà Nội - Quảng Bình
1053,QBS,VNINDEX,Công ty Cổ phần Xuất nhập khẩu Quảng Bình,Xuất nhập khẩu Quảng Bình
1054,QCC,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Hạ tầng Viễn Thông,Đầu tư Xây dựng và Phát triển Hạ tầng Viễn Thông
1055,QCG,VNINDEX,Công ty Cổ phần Quốc Cường Gia Lai,Quốc Cường Gia Lai
1056,QHD,HNXIndex,Công ty Cổ phần Que hàn điện Việt Đức,Que hàn Việt Đức
1057,QHW,UpcomIndex,Công ty Cổ phần Nước khoáng Quảng Ninh,Nước khoáng Quảng Ninh
1058,QNC,UpcomIndex,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,Xi măng Quảng Ninh
1059,MQN,UpcomIndex,Công ty Cổ phần Môi trường đô thị Quảng Ngãi,Môi trường đô thị Quảng Ngãi
1060,QSP,UpcomIndex,Công ty Cổ phần Tân cảng Quy Nhơn,Tân cảng Quy Nhơn
1061,CQN,UpcomIndex,Công ty Cổ phần Cảng Quảng Ninh,Cảng Quảng Ninh
1062,PQN,UpcomIndex,Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi PTSC,DV Dầu khí Quảng Ngãi PTSC
1063,QNS,UpcomIndex,Công ty Cổ phần Đường Quảng Ngãi,Đường Quảng Ngãi
1064,QNT,UpcomIndex,Công ty Cổ phần Tư vấn và Đầu tư Phát triển Quảng Nam,Tư vấn và Đầu tư Phát triển Quảng Nam
1065,QTP,UpcomIndex,Công ty Cổ phần Nhiệt điện Quảng Ninh,Nhiệt điện Quảng Ninh
