,Open,High,Low,Close,Volume,TradingDate
0,7832.0,7977.0,7639.0,7977.0,235620,2010-01-04
1,8267.0,8267.0,7977.0,7977.0,200040,2010-01-05
2,7977.0,8074.0,7687.0,7832.0,94870,2010-01-06
3,7832.0,7880.0,7735.0,7784.0,102720,2010-01-07
4,7929.0,7929.0,7542.0,7542.0,161560,2010-01-08
5,7687.0,7687.0,7397.0,7494.0,126590,2010-01-11
6,7445.0,7542.0,7349.0,7349.0,226250,2010-01-12
7,7349.0,7590.0,7252.0,7590.0,146230,2010-01-13
8,7735.0,7735.0,7542.0,7639.0,124220,2010-01-14
9,7639.0,7639.0,7494.0,7494.0,81780,2010-01-15
10,7445.0,7445.0,7349.0,7349.0,142680,2010-01-18
11,7542.0,7590.0,7397.0,7494.0,125670,2010-01-19
12,7687.0,7735.0,7494.0,7639.0,344660,2010-01-20
13,7542.0,7639.0,7494.0,7542.0,226540,2010-01-21
14,7542.0,7590.0,7397.0,7542.0,132330,2010-01-22
15,7542.0,7590.0,7542.0,7590.0,44160,2010-01-25
16,7735.0,7832.0,7590.0,7832.0,126830,2010-01-26
17,7832.0,7832.0,7542.0,7542.0,125540,2010-01-27
18,7445.0,7590.0,7445.0,7542.0,37340,2010-01-28
19,7494.0,7542.0,7445.0,7445.0,100130,2010-01-29
20,7397.0,7639.0,7397.0,7542.0,122980,2010-02-01
21,7735.0,7832.0,7687.0,7832.0,401340,2010-02-02
22,8074.0,8171.0,7929.0,8171.0,688030,2010-02-03
23,8122.0,8219.0,8074.0,8171.0,417620,2010-02-04
24,8074.0,8122.0,7784.0,7832.0,252750,2010-02-05
25,7784.0,8026.0,7784.0,8026.0,165000,2010-02-08
26,7880.0,8026.0,7687.0,7687.0,202980,2010-02-09
27,7880.0,7929.0,7880.0,7929.0,68750,2010-02-10
28,8026.0,8074.0,7929.0,8074.0,142740,2010-02-11
29,8219.0,8219.0,8074.0,8122.0,269440,2010-02-12
30,8074.0,8171.0,8026.0,8074.0,156270,2010-02-22
31,7880.0,7929.0,7735.0,7784.0,129220,2010-02-23
32,7735.0,7832.0,7735.0,7784.0,187720,2010-02-24
33,7784.0,7880.0,7687.0,7784.0,268610,2010-02-25
34,7735.0,7735.0,7542.0,7542.0,685260,2010-02-26
35,7735.0,7784.0,7735.0,7735.0,69350,2010-03-01
36,7735.0,7735.0,7687.0,7735.0,194250,2010-03-02
37,7832.0,7832.0,7784.0,7832.0,208570,2010-03-03
38,7929.0,7977.0,7832.0,7977.0,309130,2010-03-04
39,7977.0,8026.0,7929.0,7929.0,276710,2010-03-05
40,7929.0,8026.0,7929.0,7977.0,291290,2010-03-08
41,8026.0,8122.0,8026.0,8122.0,444180,2010-03-09
42,8267.0,8509.0,8171.0,8509.0,1193070,2010-03-10
43,8654.0,8702.0,8509.0,8606.0,241410,2010-03-11
44,8654.0,8654.0,8509.0,8606.0,337200,2010-03-12
45,8509.0,8606.0,8412.0,8509.0,238400,2010-03-15
46,8316.0,8364.0,8122.0,8122.0,642300,2010-03-16
47,8171.0,8316.0,8122.0,8171.0,342500,2010-03-17
48,8171.0,8364.0,8171.0,8364.0,95600,2010-03-18
49,8316.0,8412.0,8267.0,8316.0,194090,2010-03-19
50,8267.0,8267.0,8122.0,8122.0,143010,2010-03-22
51,8026.0,8219.0,7977.0,8026.0,128330,2010-03-23
52,8171.0,8267.0,8122.0,8219.0,242280,2010-03-24
53,8219.0,8219.0,8026.0,8074.0,246000,2010-03-25
54,8074.0,8074.0,7929.0,8026.0,152570,2010-03-26
55,8122.0,8219.0,8074.0,8171.0,89620,2010-03-29
56,8171.0,8171.0,7977.0,8074.0,214750,2010-03-30
57,8122.0,8122.0,8074.0,8074.0,179890,2010-03-31
58,8122.0,8219.0,8122.0,8219.0,286770,2010-04-01
59,8316.0,8364.0,8219.0,8316.0,306570,2010-04-02
60,8364.0,8364.0,8316.0,8316.0,166840,2010-04-05
61,8316.0,8412.0,8316.0,8316.0,284520,2010-04-06
62,8316.0,8364.0,8316.0,8364.0,151090,2010-04-07
63,8316.0,8412.0,8316.0,8316.0,136320,2010-04-08
64,8316.0,8364.0,8316.0,8316.0,108170,2010-04-09
65,8412.0,8412.0,8364.0,8412.0,189040,2010-04-12
66,8412.0,8461.0,8364.0,8412.0,264770,2010-04-13
67,8412.0,8461.0,8364.0,8461.0,134900,2010-04-14
68,8509.0,8509.0,8412.0,8461.0,204750,2010-04-15
69,8509.0,8509.0,8412.0,8412.0,100290,2010-04-16
70,8316.0,8412.0,8316.0,8316.0,254050,2010-04-19
71,8171.0,8316.0,8171.0,8316.0,123340,2010-04-20
